date,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
2021-03-01,2,1007533,ET0501,1004.0,0.14985786,0.14264342,103.74497
2021-03-11,2,1007533,ET0501,1004.0,0.14711384,0.14481947,101.17769
2021-03-21,2,1007533,ET0501,1004.0,0.14520359,0.14966479,97.765656
2021-04-01,2,1007533,ET0501,1004.0,0.14634949,0.15678474,94.953575
2021-04-11,2,1007533,ET0501,1004.0,0.15455109,0.16450837,95.3581
2021-04-21,2,1007533,ET0501,1004.0,0.17285508,0.17163344,100.5512
2021-05-01,2,1007533,ET0501,1004.0,0.19852759,0.17548577,110.21874
2021-05-11,2,1007533,ET0501,1004.0,0.21584064,0.17396128,118.69939
2021-05-21,2,1007533,ET0501,1004.0,0.21489343,0.16698985,122.076416
2021-06-01,2,1007533,ET0501,1004.0,0.19965369,0.15666857,120.79905
2021-06-11,2,1007533,ET0501,1004.0,0.1811459,0.14699134,117.3381
2021-06-21,2,1007533,ET0501,1004.0,0.17028396,0.14070287,115.51161
2021-07-01,2,1007533,ET0501,1004.0,0.17199363,0.13885966,117.54422
2021-07-11,2,1007533,ET0501,1004.0,0.18723615,0.14299741,122.92193
2021-07-21,2,1007533,ET0501,1004.0,0.21610737,0.15420593,130.31325
2021-08-01,2,1007533,ET0501,1004.0,0.24355426,0.17070317,133.00864
2021-08-11,2,1007533,ET0501,1004.0,0.26008317,0.1876744,130.46553
2021-08-21,2,1007533,ET0501,1004.0,0.26117888,0.2009933,123.97895
2021-09-01,2,1007533,ET0501,1004.0,0.25021383,0.20620728,117.17616
2021-09-11,2,1007533,ET0501,1004.0,0.23836432,0.20297088,113.991104
2021-09-21,2,1007533,ET0501,1004.0,0.22964808,0.19428053,114.47826
2021-10-01,2,1007533,ET0501,1004.0,0.2237998,0.18388295,117.06702
2021-10-11,2,1007533,ET0501,1004.0,0.21830119,0.17477576,119.36393
2021-10-21,2,1007533,ET0501,1004.0,0.20842978,0.1675058,118.81511
2021-11-01,2,1007533,ET0501,1004.0,0.19634672,0.16221264,116.08485
2021-11-11,2,1007533,ET0501,1004.0,0.1854971,0.15882115,112.77457
2021-11-21,2,1007533,ET0501,1004.0,0.17686453,0.15659507,109.81121
2021-12-01,2,1007533,ET0501,1004.0,0.1708491,0.15510027,107.678604
2021-12-11,2,1007533,ET0501,1004.0,0.16667052,0.15370105,106.366905
2021-12-21,2,1007533,ET0501,1004.0,0.16385807,0.15196706,105.88759
2022-01-01,2,1007533,ET0501,1004.0,0.16340965,0.14978214,106.82119
2022-01-11,2,1007533,ET0501,1004.0,0.16451941,0.14795063,108.37017
2022-01-21,2,1007533,ET0501,1004.0,0.16358516,0.14650586,108.69149
